Global frequency set at 1000000000000 ticks per second
486575000: system.mem_ctrl: Hit in Dirty Area: 0xb2c80
486716000: system.mem_ctrl: Hit in Dirty Area: 0xb2c88
486857000: system.mem_ctrl: Hit in Dirty Area: 0xb2c90
486998000: system.mem_ctrl: Hit in Dirty Area: 0xb2c98
487139000: system.mem_ctrl: Hit in Dirty Area: 0xb2ca0
487280000: system.mem_ctrl: Hit in Dirty Area: 0xb2ca8
487421000: system.mem_ctrl: Hit in Dirty Area: 0xb2cb0
487562000: system.mem_ctrl: Hit in Dirty Area: 0xb2cb8
487703000: system.mem_ctrl: Hit in Dirty Area: 0xb2cc0
487844000: system.mem_ctrl: Hit in Dirty Area: 0xb2cc8
487985000: system.mem_ctrl: Hit in Dirty Area: 0xb2cd0
488126000: system.mem_ctrl: Hit in Dirty Area: 0xb2cd8
488267000: system.mem_ctrl: Hit in Dirty Area: 0xb2ce0
488408000: system.mem_ctrl: Hit in Dirty Area: 0xb2ce8
488549000: system.mem_ctrl: Hit in Dirty Area: 0xb2cf0
488690000: system.mem_ctrl: Hit in Dirty Area: 0xb2cf8
488831000: system.mem_ctrl: Hit in Dirty Area: 0xb2d00
488972000: system.mem_ctrl: Hit in Dirty Area: 0xb2d08
489113000: system.mem_ctrl: Hit in Dirty Area: 0xb2d10
489254000: system.mem_ctrl: Hit in Dirty Area: 0xb2d18
489395000: system.mem_ctrl: Hit in Dirty Area: 0xb2d20
489536000: system.mem_ctrl: Hit in Dirty Area: 0xb2d28
489677000: system.mem_ctrl: Hit in Dirty Area: 0xb2d30
489818000: system.mem_ctrl: Hit in Dirty Area: 0xb2d38
489959000: system.mem_ctrl: Hit in Dirty Area: 0xb2d40
490100000: system.mem_ctrl: Hit in Dirty Area: 0xb2d48
490241000: system.mem_ctrl: Hit in Dirty Area: 0xb2d50
490382000: system.mem_ctrl: Hit in Dirty Area: 0xb2d58
490523000: system.mem_ctrl: Hit in Dirty Area: 0xb2d60
490664000: system.mem_ctrl: Hit in Dirty Area: 0xb2d68
490805000: system.mem_ctrl: Hit in Dirty Area: 0xb2d70
490946000: system.mem_ctrl: Hit in Dirty Area: 0xb2d78
491087000: system.mem_ctrl: Hit in Dirty Area: 0xb2d80
491228000: system.mem_ctrl: Hit in Dirty Area: 0xb2d88
491369000: system.mem_ctrl: Hit in Dirty Area: 0xb2d90
491510000: system.mem_ctrl: Hit in Dirty Area: 0xb2d98
491651000: system.mem_ctrl: Hit in Dirty Area: 0xb2da0
491792000: system.mem_ctrl: Hit in Dirty Area: 0xb2da8
491933000: system.mem_ctrl: Hit in Dirty Area: 0xb2db0
492074000: system.mem_ctrl: Hit in Dirty Area: 0xb2db8
492215000: system.mem_ctrl: Hit in Dirty Area: 0xb2dc0
492356000: system.mem_ctrl: Hit in Dirty Area: 0xb2dc8
492497000: system.mem_ctrl: Hit in Dirty Area: 0xb2dd0
492638000: system.mem_ctrl: Hit in Dirty Area: 0xb2dd8
492779000: system.mem_ctrl: Hit in Dirty Area: 0xb2de0
492920000: system.mem_ctrl: Hit in Dirty Area: 0xb2de8
493061000: system.mem_ctrl: Hit in Host Cache: 0x22678
493101000: system.mem_ctrl: Hit in Host Cache: 0x22680
493141000: system.mem_ctrl: Hit in Host Cache: 0x22680
493181000: system.mem_ctrl: Hit in Host Cache: 0x22688
493221000: system.mem_ctrl: Hit in Dirty Area: 0xb2c80
493362000: system.mem_ctrl: Hit in Host Cache: 0x22688
493402000: system.mem_ctrl: Hit in Host Cache: 0x22690
493442000: system.mem_ctrl: Hit in Dirty Area: 0xb2c98
493583000: system.mem_ctrl: Hit in Host Cache: 0x22690
493623000: system.mem_ctrl: Hit in Host Cache: 0x22698
493663000: system.mem_ctrl: Hit in Dirty Area: 0xb2e80
493803000: system.mem_ctrl: Hit in Host Cache: 0x22698
493843000: system.mem_ctrl: Hit in Host Cache: 0x226a0
493883000: system.mem_ctrl: Hit in Dirty Area: 0xb2ce0
494024000: system.mem_ctrl: Hit in Host Cache: 0x226a0
494064000: system.mem_ctrl: Hit in Host Cache: 0x226a0
494104000: system.mem_ctrl: Hit in Host Cache: 0x226a8
494144000: system.mem_ctrl: Hit in Host Cache: 0x226a8
494184000: system.mem_ctrl: Hit in Host Cache: 0x226b0
494224000: system.mem_ctrl: Hit in Host Cache: 0x226b0
494264000: system.mem_ctrl: Hit in Host Cache: 0x226b8
494304000: system.mem_ctrl: Hit in Host Cache: 0x226b8
494344000: system.mem_ctrl: Hit in Dirty Area: 0xb2e88
494484000: system.mem_ctrl: Hit in Host Cache: 0x226b8
494524000: system.mem_ctrl: Hit in Host Cache: 0x226c0
494564000: system.mem_ctrl: Hit in Host Cache: 0x226c0
494604000: system.mem_ctrl: Hit in Host Cache: 0x226c8
494644000: system.mem_ctrl: Hit in Dirty Area: 0xb2d58
494785000: system.mem_ctrl: Hit in Host Cache: 0x226c8
494825000: system.mem_ctrl: Hit in Dirty Area: 0xb2e90
494965000: system.mem_ctrl: Hit in Host Cache: 0x226c8
495005000: system.mem_ctrl: Hit in Host Cache: 0x226d0
495045000: system.mem_ctrl: Hit in Host Cache: 0x226b0
495085000: system.mem_ctrl: Hit in Host Cache: 0x226b0
495125000: system.mem_ctrl: Hit in Host Cache: 0x226b8
495165000: system.mem_ctrl: Hit in Host Cache: 0x226b8
495205000: system.mem_ctrl: Hit in Dirty Area: 0xb2e98
495345000: system.mem_ctrl: Hit in Host Cache: 0x226b8
495385000: system.mem_ctrl: Hit in Host Cache: 0x226c0
495425000: system.mem_ctrl: Hit in Host Cache: 0x226c0
495465000: system.mem_ctrl: Hit in Host Cache: 0x226c8
495505000: system.mem_ctrl: Hit in Dirty Area: 0xb2cd0
495646000: system.mem_ctrl: Hit in Host Cache: 0x226c8
495686000: system.mem_ctrl: Hit in Dirty Area: 0xb2ea0
495826000: system.mem_ctrl: Hit in Host Cache: 0x226c8
495866000: system.mem_ctrl: Hit in Host Cache: 0x226d0
495906000: system.mem_ctrl: Hit in Host Cache: 0x226b0
495946000: system.mem_ctrl: Hit in Host Cache: 0x226b0
495986000: system.mem_ctrl: Hit in Host Cache: 0x226b8
496026000: system.mem_ctrl: Hit in Host Cache: 0x226b8
496066000: system.mem_ctrl: Hit in Dirty Area: 0xb2ea8
496206000: system.mem_ctrl: Hit in Host Cache: 0x226b8
496246000: system.mem_ctrl: Hit in Host Cache: 0x226c0
496286000: system.mem_ctrl: Hit in Host Cache: 0x226c0
496326000: system.mem_ctrl: Hit in Host Cache: 0x226c8
496366000: system.mem_ctrl: Hit in Dirty Area: 0xb2c80
496507000: system.mem_ctrl: Hit in Host Cache: 0x226c8
496547000: system.mem_ctrl: Hit in Dirty Area: 0xb2eb0
496687000: system.mem_ctrl: Hit in Host Cache: 0x226c8
496727000: system.mem_ctrl: Hit in Host Cache: 0x226d0
496767000: system.mem_ctrl: Hit in Host Cache: 0x226b0
496807000: system.mem_ctrl: Hit in Host Cache: 0x226b0
496847000: system.mem_ctrl: Hit in Host Cache: 0x226b8
496887000: system.mem_ctrl: Hit in Host Cache: 0x226b8
496927000: system.mem_ctrl: Hit in Dirty Area: 0xb2eb8
497067000: system.mem_ctrl: Hit in Host Cache: 0x226b8
497107000: system.mem_ctrl: Hit in Host Cache: 0x226c0
497147000: system.mem_ctrl: Hit in Host Cache: 0x226c0
497187000: system.mem_ctrl: Hit in Host Cache: 0x226c8
497227000: system.mem_ctrl: Hit in Dirty Area: 0xb2cd8
497368000: system.mem_ctrl: Hit in Host Cache: 0x226c8
497408000: system.mem_ctrl: Hit in Dirty Area: 0xb2ec0
497548000: system.mem_ctrl: Hit in Host Cache: 0x226c8
497588000: system.mem_ctrl: Hit in Host Cache: 0x226d0
497628000: system.mem_ctrl: Hit in Host Cache: 0x226b0
497668000: system.mem_ctrl: Hit in Host Cache: 0x226b0
497708000: system.mem_ctrl: Hit in Host Cache: 0x226b8
497748000: system.mem_ctrl: Hit in Host Cache: 0x226b8
497788000: system.mem_ctrl: Hit in Dirty Area: 0xb2ec8
497928000: system.mem_ctrl: Hit in Host Cache: 0x226b8
497968000: system.mem_ctrl: Hit in Host Cache: 0x226c0
498008000: system.mem_ctrl: Hit in Host Cache: 0x226c0
498048000: system.mem_ctrl: Hit in Host Cache: 0x226c8
